x	y	pop	sampleID
11.8818	67.4273	Hernyken	LESP_8517721
11.8818	67.4273	Hernyken	LESP_8517723
11.8818	67.4273	Hernyken	LESP_8517726
11.8818	67.4273	Hernyken	LESP_8517728
11.8818	67.4273	Hernyken	LESP_8517729
11.8818	67.4273	Hernyken	LESP_8517731
11.8818	67.4273	Hernyken	LESP_8517734
11.8818	67.4273	Hernyken	LESP_8517737
NA	NA	NA	LESP_8517738
11.8818	67.4273	Hernyken	LESP_8517740
-52.8007	48.1355	Baccalieu	LESP_19
-52.8007	48.1355	Baccalieu	LESP_27
-52.8007	48.1355	Baccalieu	LESP_35
-52.8007	48.1355	Baccalieu	LESP_37
-52.8007	48.1355	Baccalieu	LESP_38
-52.8007	48.1355	Baccalieu	LESP_44
-52.8007	48.1355	Baccalieu	LESP_46
-52.8007	48.1355	Baccalieu	LESP_49
-52.8007	48.1355	Baccalieu	LESP_59
-52.8007	48.1355	Baccalieu	LESP_61
NA	NA	NA	LESP_65
-52.8007	48.1355	Baccalieu	LESP_66
-52.8007	48.1355	Baccalieu	LESP_657
-66.3894	50.09	Corrosol	LESP_39331
-66.3894	50.09	Corrosol	LESP_39332
-66.3894	50.09	Corrosol	LESP_39333
-66.3894	50.09	Corrosol	LESP_39334
-66.3894	50.09	Corrosol	LESP_39335
-66.3894	50.09	Corrosol	LESP_39337
-66.3894	50.09	Corrosol	LESP_39338
NA	NA	NA	LESP_39339
-66.3894	50.09	Corrosol	LESP_39340
-66.3894	50.09	Corrosol	LESP_39341
-66.7559	44.5819	Kent	LESP_39321
-66.7559	44.5819	Kent	LESP_39322
-66.7559	44.5819	Kent	LESP_39323
NA	NA	NA	LESP_39324
-66.7559	44.5819	Kent	LESP_39325
-66.7559	44.5819	Kent	LESP_39328
-66.7559	44.5819	Kent	39318
NA	NA	NA	39319
-66.7559	44.5819	Kent	39320
-66.7559	44.5819	Kent	39329
-66.7559	44.5819	Kent	53893
-66.7559	44.5819	Kent	53894
-66.7559	44.5819	Kent	53896
-66.7559	44.5819	Kent	53899
-66.7559	44.5819	Kent	53909
-56.5333	51.4	Green	P27
-56.5333	51.4	Green	P28
-56.5333	51.4	Green	P29
-56.5333	51.4	Green	P30
-56.5333	51.4	Green	P45
-56.5333	51.4	Green	P54
NA	NA	NA	P57
-56.5333	51.4	Green	PB65
-56.5333	51.4	Green	PB67
