x	y	sampleID	pop
-68.14123	60.41623	TBMU-ULA-03	akp
-68.14123	60.41623	TBMU-ULA-07	akp
-68.14123	60.41623	TBMU-ULA-08	akp
-68.14123	60.41623	TBMU-ULA-09	akp
-68.14123	60.41623	TBMU-ULA-11	akp
-68.14123	60.41623	TBMU-ULA-21	akp
-68.14123	60.41623	TBMU-ULA-22	akp
-68.14123	60.41623	TMBU-ULA-02	akp
-68.14123	60.41623	TMBU-ULA-04	akp
-68.14123	60.41623	TMBU-ULA-13	akp
-68.14123	60.41623	TMBU-ULA-14	akp
-68.14123	60.41623	TMBU-ULA-15	akp
-68.14123	60.41623	TMBU-ULA-18	akp
-68.14123	60.41623	TMBU-ULA-19	akp
-68.14123	60.41623	TMBU-ULA-20	akp
-83.10416	62.46819	V1	coa
-83.10416	62.46819	V10	coa
-83.10416	62.46819	V12	coa
-83.10416	62.46819	V13	coa
-83.10416	62.46819	V16	coa
-83.10416	62.46819	V19	coa
-83.10416	62.46819	V2	coa
-83.10416	62.46819	V5	coa
-83.10416	62.46819	V7	coa
-83.10416	62.46819	V8	coa
-79.40773	75.92464	TBMU-CB2c	cog
-79.40773	75.92464	TBMU-CB6c	cog
-79.40773	75.92464	TBMU-CB7c	cog
-79.40773	75.92464	TBMU-CB8c	cog
-79.40773	75.92464	TBMU-CB9c	cog
-77.96371	62.56199	TBMU-ULD-1	dig
-77.96371	62.56199	TBMU-ULD-11	dig
-77.96371	62.56199	TBMU-ULD-12	dig
-77.96371	62.56199	TBMU-ULD-13	dig
-77.96371	62.56199	TBMU-ULD-14	dig
-77.96371	62.56199	TBMU-ULD-15	dig
-77.96371	62.56199	TBMU-ULD-16	dig
-77.96371	62.56199	TBMU-ULD-17	dig
-77.96371	62.56199	TBMU-ULD-2	dig
-77.96371	62.56199	TBMU-ULD-20	dig
-77.96371	62.56199	TBMU-ULD-8	dig
-77.96371	62.56199	TBMU-ULD-9	dig
-77.96371	62.56199	TMBU-ULD-18	dig
-77.96371	62.56199	TMBU-ULD-19	dig
-77.96371	62.56199	TMBU-ULD-3	dig
-77.96371	62.56199	TMBU-ULD-4	dig
-77.96371	62.56199	TMBU-ULD-5	dig
-53.18111	49.75686	TBMU-FI-1	fun
-53.18111	49.75686	TBMU-FI-2	fun
-53.18111	49.75686	TBMU-FI-3	fun
-53.18111	49.75686	TBMU-FI-4	fun
-53.18111	49.75686	TBMU-FI-5	fun
-53.18111	49.75686	TBMU-FI-6	fun
-53.18111	49.75686	TBMU-FI-7	fun
-56.505	53.934	TBMU-GC-014	gan
-56.505	53.934	TBMU-GC-016	gan
-56.505	53.934	TBMU-GC-017	gan
-56.505	53.934	TBMU-GC-018	gan
-56.505	53.934	TBMU-GC-019	gan
-56.505	53.934	TBMU-GC-021	gan
-56.505	53.934	TBMU-GC-024	gan
-56.505	53.934	TBMU-GC-025	gan
-56.505	53.934	TBMU-GC-026	gan
-56.505	53.934	TBMU-GC-027	gan
-56.505	53.934	TBMU-GC-029	gan
-56.505	53.934	TBMU-GC-030	gan
-56.505	53.934	TBMU-GC-032	gan
31.1541	70.38777	TBMU-ULH-584	hor
31.1541	70.38777	TBMU-ULH-605	hor
31.1541	70.38777	TBMU-ULH-607	hor
31.1541	70.38777	TBMU-ULH-608	hor
31.1541	70.38777	TBMU-ULH-609	hor
31.1541	70.38777	TBMU-ULH-610	hor
31.1541	70.38777	TBMU-ULH-611	hor
31.1541	70.38777	TBMU-ULH-618	hor
31.1541	70.38777	TBMU-ULH-619	hor
31.1541	70.38777	TBMU-ULH-621	hor
31.1541	70.38777	TBMU-ULH-622-1	hor
31.1541	70.38777	TBMU-ULH-624	hor
