sampleID	pop
i773	p1
i425	p1
i106	p1
i95	p1
i97	p1
i80	p1
i162	p1
i620	p1
i9	p1
i277	p1
i643	p1
i131	p1
i587	p1
i25	p1
i529	p1
i990	p1
i614	p1
i623	p1
i341	p1
i254	p1
i215	p1
i974	p1
i947	p1
i243	p1
i317	p1
i943	p1
i144	p1
i420	p1
i881	p1
i43	p1
i428	p1
i575	p1
i288	p1
i674	p1
i493	p1
i251	p1
i594	p1
i558	p1
i892	p1
i375	p1
i1597	p2
i1014	p2
i1307	p2
i1062	p2
i1421	p2
i1371	p2
i1925	p2
i1797	p2
i1390	p2
i1314	p2
i1436	p2
i1112	p2
i1529	p2
i1893	p2
i1183	p2
i1995	p2
i1859	p2
i1763	p2
i1108	p2
i1662	p2
i1576	p2
i1415	p2
i1939	p2
i1868	p2
i1335	p2
i1372	p2
i1028	p2
i1967	p2
i1509	p2
i1885	p2
i1705	p2
i1621	p2
i1780	p2
i1034	p2
i1789	p2
i1291	p2
i1521	p2
i1624	p2
i1271	p2
i1556	p2
i2195	p3
i2058	p3
i2647	p3
i2777	p3
i2331	p3
i2511	p3
i2587	p3
i2198	p3
i2987	p3
i2956	p3
i2208	p3
i2134	p3
i2531	p3
i2204	p3
i2498	p3
i2968	p3
i2249	p3
i2944	p3
i2636	p3
i2050	p3
i2687	p3
i2643	p3
i2709	p3
i2971	p3
i2112	p3
i2179	p3
i2667	p3
i2685	p3
i2870	p3
i2650	p3
i2967	p3
i2928	p3
i2654	p3
i2422	p3
i2118	p3
i2023	p3
i2338	p3
i2087	p3
i2666	p3
i2584	p3
i3820	p4
i3523	p4
i3260	p4
i3250	p4
i3795	p4
i3520	p4
i3579	p4
i3949	p4
i3125	p4
i3562	p4
i3827	p4
i3023	p4
i3772	p4
i3169	p4
i3941	p4
i3347	p4
i3598	p4
i3881	p4
i3043	p4
i3075	p4
i3401	p4
i3493	p4
i3051	p4
i3606	p4
i3045	p4
i3033	p4
i3889	p4
i3077	p4
i3957	p4
i3543	p4
i3157	p4
i3920	p4
i3684	p4
i3131	p4
i3119	p4
i3211	p4
i3542	p4
i3219	p4
i3862	p4
i3696	p4
i4084	p5
i4426	p5
i4676	p5
i4121	p5
i4337	p5
i4706	p5
i4239	p5
i4875	p5
i4793	p5
i4085	p5
i4446	p5
i4319	p5
i4529	p5
i4884	p5
i4898	p5
i4555	p5
i4707	p5
i4167	p5
i4681	p5
i4677	p5
i4433	p5
i4209	p5
i4617	p5
i4965	p5
i4878	p5
i4597	p5
i4054	p5
i4752	p5
i4144	p5
i4860	p5
i4980	p5
i4048	p5
i4233	p5
i4171	p5
i4692	p5
i4440	p5
i4456	p5
i4044	p5
i4220	p5
i4652	p5
i0	NA
i1	NA
i2	NA
i3	NA
i4	NA
i5	NA
i6	NA
i7	NA
i8	NA
i10	NA
i11	NA
i12	NA
i13	NA
i14	NA
i15	NA
i16	NA
i17	NA
i18	NA
i19	NA
i20	NA
i21	NA
i22	NA
i23	NA
i24	NA
i26	NA
i27	NA
i28	NA
i29	NA
i30	NA
i31	NA
i32	NA
i33	NA
i34	NA
i35	NA
i36	NA
i37	NA
i38	NA
i39	NA
i40	NA
i41	NA
i42	NA
i44	NA
i45	NA
i46	NA
i47	NA
i48	NA
i49	NA
i50	NA
i51	NA
i52	NA
i53	NA
i54	NA
i55	NA
i56	NA
i57	NA
i58	NA
i59	NA
i60	NA
i61	NA
i62	NA
i63	NA
i64	NA
i65	NA
i66	NA
i67	NA
i68	NA
i69	NA
i70	NA
i71	NA
i72	NA
i73	NA
i74	NA
i75	NA
i76	NA
i77	NA
i78	NA
i79	NA
i81	NA
i82	NA
i83	NA
i84	NA
i85	NA
i86	NA
i87	NA
i88	NA
i89	NA
i90	NA
i91	NA
i92	NA
i93	NA
i94	NA
i96	NA
i98	NA
i99	NA
i100	NA
i101	NA
i102	NA
i103	NA
i104	NA
i105	NA
i107	NA
i108	NA
i109	NA
i110	NA
i111	NA
